code,value
DEB1D,48.0
DEB2,46.1
DEB21,40.8
DEB22,48.4
DEB23,46.1
DEB24,50.0
DEB25,46.8
DEB3,45.7
DEB31,45.5
DEB32,42.2
DEB33,42.3
DEB34,41.6
DEB35,38.7
DEB36,48.4
DEB37,47.5
DEB38,47.8
DEB39,43.5
DEB3A,46.7
DEB3B,46.6
DEB3C,50.4
DEB3D,48.6
DEB3E,45.7
DEB3F,46.9
DEB3G,50.0
DEB3H,49.5
DEB3I,47.8
DEB3J,47.5
DEB3K,51.9
DEC,48.1
DEC0,48.1
DEC01,45.5
DEC02,48.8
DEC03,48.9
DEC04,48.9
DEC05,49.9
DEC06,51.3
DED,48.4
DED2,48.4
DED21,42.0
DED2C,52.0
DED2D,53.9
DED2E,51.9
DED2F,51.0
DED4,51.8
DED41,46.9
DED42,53.2
DED43,52.0
DED44,53.7
DED45,52.4
DED5,44.1
DED51,39.8
DED52,51.1
DED53,50.8
DEE,51.1
DEE0,51.1
DEE01,54.3
DEE02,43.7
DEE03,44.0
DEE04,52.3
DEE05,53.0
DEE06,52.5
DEE07,50.9
DEE08,52.9
DEE09,53.7
DEE0A,55.1
DEE0B,51.1
DEE0C,53.2
DEE0D,52.8
DEE0E,54.2
DEF,47.5
DEF0,47.5
DEF01,41.1
DEF02,40.1
DEF03,45.8
DEF04,45.8
DEF05,50.2
DEF06,47.2
DEF07,49.7
DEF08,53.0
DEF09,46.9
DEF0A,51.6
DEF0B,49.1
DEF0C,49.2
DEF0D,46.7
DEF0E,48.8
DEF0F,48.1
DEG,50.4
DEG0,50.4
DEG01,44.4
DEG02,50.4
DEG03,41.5
DEG05,45.3
DEG06,49.4
DEG07,51.5
DEG09,50.8
DEG0A,53.3
DEG0C,50.4
DEG0D,50.9
DEG0E,51.8
DEG0G,49.9
DEG0J,51.5
DEG0K,52.9
DEG0L,55.1
DEG0M,54.6
DEG0Q,52.2
DEG0R,51.4
DEG0S,56.1
DEG0T,49.8
DEG0U,54.1
DEG0V,53.3
DK,42.1
DK0,42.1
DK01,38.8
DK011,34.2
DK012,40.4
DK013,47.2
DK014,53.2
DK02,47.0
DK021,44.2
DK022,48.2
DK03,44.8
DK031,44.1
DK032,45.2
DK04,41.1
DK041,45.3
DK042,39.2
DK05,44.2
DK050,44.2
EE,43.0
EE0,43.0
EE00,43.0
EE001,41.0
EE004,45.7
