code,value
FR103,6.7
FR104,6.7
FR105,4.1
FR106,8.2
FR107,2.8
FR108,6.2
FRB,0.4
FRB0,0.4
FRB01,-4.3
FRB02,0.3
FRB03,-5.0
FRB04,2.8
FRB05,-1.5
FRB06,2.8
FRC,-0.9
FRC1,-0.7
FRC11,1.6
FRC12,-3.0
FRC13,-1.1
FRC14,-2.5
FRC2,-1.1
FRC21,-0.3
FRC22,-1.5
FRC23,-3.0
FRC24,-0.6
FRD,0.9
FRD1,1.5
FRD11,4.7
FRD12,0.3
FRD13,-4.5
FRD2,0.5
FRD21,0.9
FRD22,0.3
FRE,-1.4
FRE1,-0.9
FRE11,-0.2
FRE12,-2.0
FRE2,-2.5
FRE21,-4.3
FRE22,-1.2
FRE23,-2.7
FRF,-1.1
FRF1,2.0
FRF11,3.2
FRF12,0.1
FRF2,-4.2
FRF21,-5.6
FRF22,-2.3
FRF23,-3.8
FRF24,-6.8
FRF3,-1.8
FRF31,-1.5
FRF32,-5.6
FRF33,-0.4
FRF34,-5.0
FRG,5.0
FRG0,5.0
FRG01,7.9
FRG02,4.0
FRG03,-2.2
FRG04,-0.9
FRG05,8.1
FRH,5.9
FRH0,5.9
FRH01,3.0
FRH02,4.2
FRH03,8.2
FRH04,6.8
FRI,5.1
FRI1,7.6
FRI11,3.1
FRI12,9.0
FRI13,10.1
FRI14,2.5
FRI15,7.7
FRI2,0.1
FRI21,0.9
FRI22,-1.0
FRI23,-0.1
FRI3,2.2
FRI31,0.1
FRI32,7.1
FRI33,-0.1
FRI34,-1.7
FRJ,6.7
FRJ1,7.5
FRJ11,2.6
FRJ12,6.9
FRJ13,9.4
FRJ14,-0.2
FRJ15,8.5
FRJ2,6.0
FRJ21,2.8
FRJ22,-1.5
FRJ23,10.7
FRJ24,-0.5
FRJ25,1.7
FRJ26,1.9
FRJ27,4.4
FRJ28,3.0
FRK,4.0
FRK1,-0.9
FRK11,-3.2
FRK12,-1.5
FRK13,0.9
FRK14,-0.1
FRK2,5.0
FRK21,9.6
FRK22,4.1
FRK23,2.9
FRK24,4.6
FRK25,1.6
FRK26,4.0
FRK27,4.9
FRK28,8.7
FRL,6.4
FRL0,6.4
FRL01,4.6
FRL02,5.5
FRL03,7.6
FRL04,5.2
FRL05,8.8
FRL06,4.3
FRM,9.4
FRM0,9.4
FRM01,13.2
FRM02,5.9
FRY,8.4
FRY1,-1.2
FRY10,-1.2
FRY2,-1.1
FRY20,-1.1
FRY3,7.3
FRY30,7.3
FRY4,8.9
FRY40,8.9
FRY5,31.9
FRY50,31.9
HR,2.9
HR0,2.9
HR02,-8.5
HR021,-8.2
HR022,-11.3
HR023,-18.2
HR024,-3.5
HR025,-8.0
HR026,-11.8
HR027,-3.7
HR028,-9.1
HR03,9.5
HR031,3.6
HR032,8.4
HR033,16.4
HR034,1.6
HR035,8.0
HR036,20.9
HR037,5.4
HR05,4.5
HR050,4.5
HR06,4.7
HR061,2.6
HR062,3.2
HR063,-3.3
HR064,-1.5
HR065,11.3
HU,-1.6
HU1,6.5
HU11,9.1
HU110,9.1
HU12,3.4
HU120,3.4
HU2,-3.4
HU21,-2.0
HU211,-0.2
HU212,1.1
HU213,-7.0
HU22,-1.4
HU221,4.1
HU222,-6.5
HU223,-6.4
HU23,-7.3
HU231,-5.6
HU232,-8.9
HU233,-7.9
HU3,-6.8
HU31,-9.6
HU311,-10.3
HU312,-8.6
HU313,-8.7
HU32,-4.6
HU321,-0.2
HU322,-8.1
HU323,-6.6
HU33,-6.9
HU331,-5.9
HU332,-11.1
HU333,-4.6
IE,15.1
IE0,15.1
IE04,16.4
IE041,24.6
IE042,9.2
IE05,17.8
IE051,23.4
IE052,11.6
IE053,17.7
IE06,12.9
IE061,13.6
IE062,8.0
IE063,21.0
IS,-10.9
IS0,-10.9
IS00,-10.9
